libusb-1.0-0-dev:amd64	2:1.0.25-1ubuntu2
libwayland-client0:amd64	1.20.0-1ubuntu0.1
libwayland-client0:i386	1.20.0-1ubuntu0.1
libx11-6:amd64	2:1.7.5-1ubuntu0.3
libx11-6:i386	2:1.7.5-1ubuntu0.3
libxcb-cursor-dev:amd64	0.1.1-4ubuntu1
libxcb1:amd64	1.14-3ubuntu3
libxcb1:i386	1.14-3ubuntu3
libxcomposite1:amd64	1:0.4.5-1build2
libxcomposite1:i386	1:0.4.5-1build2
libxdamage1:amd64	1:1.1.5-2build2
libxdamage1:i386	1:1.1.5-2build2
libxext6:amd64	2:1.3.4-1build1
libxext6:i386	2:1.3.4-1build1
libxfixes3:amd64	1:6.0.0-1
libxfixes3:i386	1:6.0.0-1
libxi-dev:amd64	2:1.8-1build1
libxkbcommon0:amd64	1.4.0-1
libxkbcommon0:i386	1.4.0-1
libxpm-dev:amd64	1:3.5.12-1ubuntu0.22.04.3
libxrandr2:amd64	2:1.5.2-1build1
libxrandr2:i386	2:1.5.2-1build1
libyaml-cpp-dev	0.7.0+dfsg-8build1
libyaml-cpp0.7:amd64	0.7.0+dfsg-8build1
libzmq3-dev:amd64	4.3.4-2
libzstd-dev:amd64	1.4.8+dfsg-3build1
linux-headers-5.15.0-100	5.15.0-100.110
lld-15	1:15.0.7-0ubuntu0.22.04.3
lldb:amd64	1:14.0-55~exp2
llvm-15-dev	1:15.0.7-0ubuntu0.22.04.3
llvm-15-tools	1:15.0.7-0ubuntu0.22.04.3
login	1:4.8.1-2ubuntu2.2
logrotate	3.19.0-1ubuntu1.1
lolcat	100.0.1-3
lsb-release	11.1.0ubuntu4
lshw	02.19.git.2021.06.19.996aaad9c7-2build1
lsof	4.93.2+dfsg-1.1build2
lua-sec:amd64	1.0.2-1
lua5.4	5.4.4-1
luarocks	3.8.0+dfsg1-1
man-db	2.10.2-1
manpages	5.10-1ubuntu1
manpages-dev	5.10-1ubuntu1
manpages-posix-dev	2017a-2
media-types	7.0.0
meld	3.20.4-2
motd-news-config	12ubuntu4.7
mtr-tiny	0.95-1
nano	6.2-1ubuntu0.2
ncdu	1.15.1-1
ncurses-base	6.3-2ubuntu0.2
ncurses-bin	6.3-2ubuntu0.2
